experiment,final_step_rel_mse,full_rel_mse,strategy,system,tail16_rel_mse
crossover_burgers_ld16_rl64,984.8795776367188,135.23040771484375,state,burgers,469.68096923828125
crossover_burgers_ld16_rl64,0.41210657358169556,0.1507992446422577,latent_branch,burgers,0.28452128171920776
crossover_burgers_ld16_rl64,17.720369338989258,4.606586456298828,hybrid_2,burgers,12.517982482910156
crossover_burgers_ld16_rl64,2.0154247283935547,0.805187463760376,hybrid_4,burgers,1.6672574281692505
crossover_burgers_ld16_rl64,0.7539858222007751,0.3547109365463257,hybrid_8,burgers,0.6697592735290527
crossover_burgers_ld16_rl64,0.4312896430492401,0.21129761636257172,hybrid_16,burgers,0.38185471296310425
crossover_burgers_ld16_rl80,inf,inf,latent,burgers,inf
crossover_burgers_ld16_rl80,1.000001072883606,1.000020146369934,state,burgers,1.000008463859558
crossover_burgers_ld16_rl80,inf,inf,latent_branch,burgers,inf
crossover_burgers_ld16_rl80,1.0000011920928955,1.0000065565109253,hybrid_2,burgers,1.0000056028366089
crossover_burgers_ld16_rl80,1.0000003576278687,0.9999955892562866,hybrid_4,burgers,1.0000027418136597
crossover_burgers_ld16_rl80,1.0003918409347534,1.0028135776519775,hybrid_8,burgers,1.0024901628494263
crossover_burgers_ld16_rl80,83.83334350585938,234.58985900878906,hybrid_16,burgers,227.53131103515625
crossover_burgers_ld24_rl48,0.11153355985879898,0.07169460505247116,latent,burgers,0.09309765696525574
crossover_burgers_ld24_rl48,442.81219482421875,56.25339889526367,state,burgers,160.19677734375
crossover_burgers_ld24_rl48,0.10923376679420471,0.07110229134559631,latent_branch,burgers,0.09162463992834091
crossover_burgers_ld24_rl48,8.748087882995605,2.170030117034912,hybrid_2,burgers,5.182027816772461
crossover_burgers_ld24_rl48,1.084417700767517,0.4286107122898102,hybrid_4,burgers,0.8203368186950684
crossover_burgers_ld24_rl48,0.35304737091064453,0.19074177742004395,hybrid_8,burgers,0.31202107667922974
crossover_burgers_ld24_rl48,0.19286544620990753,0.11784160137176514,hybrid_16,burgers,0.18371212482452393
crossover_burgers_ld24_rl64,0.5027432441711426,0.15770800411701202,latent,burgers,0.3404841721057892
crossover_burgers_ld24_rl64,318.0564270019531,48.501853942871094,state,burgers,160.2150421142578
crossover_burgers_ld24_rl64,0.47186151146888733,0.15025468170642853,latent_branch,burgers,0.3193155527114868
crossover_burgers_ld24_rl64,10.061614990234375,2.8098843097686768,hybrid_2,burgers,7.155354022979736
crossover_burgers_ld24_rl64,1.728070616722107,0.6856008172035217,hybrid_4,burgers,1.4391862154006958
crossover_burgers_ld24_rl64,0.6169667840003967,0.2895636558532715,hybrid_8,burgers,0.5418226718902588
crossover_burgers_ld24_rl64,0.38584500551223755,0.1808956265449524,hybrid_16,burgers,0.33308660984039307
crossover_burgers_ld24_rl80,3.3060251846598497e+24,5.033618972086099e+24,latent,burgers,5.033751558059129e+24
crossover_burgers_ld24_rl80,98.29251098632812,371.8006591796875,state,burgers,368.92852783203125
crossover_burgers_ld24_rl80,2.5195698683554543e+24,3.8361946974014275e+24,latent_branch,burgers,3.8362950015723283e+24
crossover_burgers_ld24_rl80,9.853256225585938,22.302579879760742,hybrid_2,burgers,22.28306007385254
crossover_burgers_ld24_rl80,24936602.0,40247824.0,hybrid_4,burgers,40248800.0
crossover_burgers_ld24_rl80,7330965487616.0,11757329317888.0,hybrid_8,burgers,11757634453504.0
crossover_burgers_ld24_rl80,6.543503277148111e+22,1.0599430690039172e+23,hybrid_16,burgers,1.0599706310336367e+23
crossover_burgers_ld32_rl48,0.10378103703260422,0.07393336296081543,latent,burgers,0.0897742435336113
crossover_burgers_ld32_rl48,71.87004852294922,12.6251859664917,state,burgers,33.23426055908203
crossover_burgers_ld32_rl48,0.10310713201761246,0.07385819405317307,latent_branch,burgers,0.08944880217313766
crossover_burgers_ld32_rl48,3.870084524154663,1.1640037298202515,hybrid_2,burgers,2.5270919799804688
crossover_burgers_ld32_rl48,0.7171183228492737,0.33618244528770447,hybrid_4,burgers,0.5858736634254456
crossover_burgers_ld32_rl48,0.30467310547828674,0.17375920712947845,hybrid_8,burgers,0.27250224351882935
crossover_burgers_ld32_rl48,0.17041122913360596,0.11129406094551086,hybrid_16,burgers,0.16262896358966827
crossover_burgers_ld32_rl64,0.2196824848651886,0.10159372538328171,latent,burgers,0.16553586721420288
crossover_burgers_ld32_rl64,35.119346618652344,8.65928840637207,state,burgers,22.239261627197266
crossover_burgers_ld32_rl64,0.2122708261013031,0.09996865689754486,latent_branch,burgers,0.1608750820159912
crossover_burgers_ld32_rl64,7.250563144683838,2.810673713684082,hybrid_2,burgers,6.269001007080078
crossover_burgers_ld32_rl64,2.79921293258667,0.934467613697052,hybrid_4,burgers,2.1928184032440186
crossover_burgers_ld32_rl64,0.6715699434280396,0.3088352382183075,hybrid_8,burgers,0.5874825119972229
crossover_burgers_ld32_rl64,0.3013811707496643,0.1645992547273636,hybrid_16,burgers,0.2796242833137512
crossover_burgers_ld32_rl80,8.170670260655711e+21,1.322835450558104e+22,latent,burgers,1.3228697905052628e+22
crossover_burgers_ld32_rl80,2.9263582757139506e+26,4.484027908609451e+26,state,burgers,4.4841448609668786e+26
crossover_burgers_ld32_rl80,7.960662906431798e+21,1.2888351874012984e+22,latent_branch,burgers,1.288868851808513e+22
crossover_burgers_ld32_rl80,2.671208524100403e+18,4.3543181090336276e+18,hybrid_2,burgers,4.3544310838533816e+18
crossover_burgers_ld32_rl80,8.712616896836403e+16,1.450419045793792e+17,hybrid_4,burgers,1.450456497908613e+17
crossover_burgers_ld32_rl80,9.923359841906275e+19,1.6493077277700417e+20,hybrid_8,burgers,1.6493504767821296e+20
crossover_burgers_ld32_rl80,2.1206694884975198e+21,3.477027736209435e+21,hybrid_16,burgers,3.477117526727006e+21
late_ground_proxy_heat,0.06049739569425583,0.05040767043828964,latent,heat,0.056939151138067245
late_ground_proxy_heat,7.535642147064209,3.4447402954101562,state,heat,6.9111247062683105
late_ground_proxy_heat,0.06049739569425583,0.05040767043828964,latent_branch,heat,0.056939151138067245
late_ground_proxy_heat,4.647136688232422,1.6617776155471802,hybrid_2,heat,4.155241966247559
late_ground_proxy_heat,1.3469349145889282,0.5111256241798401,hybrid_4,heat,1.1989622116088867
late_ground_proxy_heat,0.37130269408226013,0.1979101449251175,hybrid_8,heat,0.35360148549079895
late_ground_proxy_heat,0.15703518688678741,0.10912404209375381,hybrid_16,heat,0.16109389066696167
late_ground_proxy_wave,0.44340288639068604,0.2641434073448181,latent,wave,0.4055391550064087
late_ground_proxy_wave,7.644094467163086,4.402381420135498,state,wave,6.9641432762146
late_ground_proxy_wave,0.4249645173549652,0.25731268525123596,latent_branch,wave,0.3900092542171478
late_ground_proxy_wave,3.5404393672943115,1.9754142761230469,hybrid_2,wave,3.3251354694366455
late_ground_proxy_wave,1.8216863870620728,1.0033864974975586,hybrid_4,wave,1.7374144792556763
late_ground_proxy_wave,0.9059135317802429,0.5404655933380127,hybrid_8,wave,0.8671448230743408
late_ground_proxy_wave,0.58701092004776,0.3746635913848877,hybrid_16,wave,0.5708708167076111
late_ground_proxy_burgers,,,latent,burgers,
late_ground_proxy_burgers,,,state,burgers,
late_ground_proxy_burgers,,,latent_branch,burgers,
late_ground_proxy_burgers,,,hybrid_2,burgers,
late_ground_proxy_burgers,,,hybrid_4,burgers,
late_ground_proxy_burgers,,,hybrid_8,burgers,
late_ground_proxy_burgers,,,hybrid_16,burgers,
late_ground_proxy_reaction_diffusion,0.005888180807232857,0.002908982802182436,latent,reaction_diffusion,0.004606308881193399
late_ground_proxy_reaction_diffusion,0.0111621068790555,0.0045285639353096485,state,reaction_diffusion,0.008164308033883572
late_ground_proxy_reaction_diffusion,0.007461216300725937,0.004128839820623398,latent_branch,reaction_diffusion,0.006048875395208597
late_ground_proxy_reaction_diffusion,0.00680994987487793,0.003207738744094968,hybrid_2,reaction_diffusion,0.004944522865116596
late_ground_proxy_reaction_diffusion,0.004245226737111807,0.0026396317407488823,hybrid_4,reaction_diffusion,0.0033982100430876017
late_ground_proxy_reaction_diffusion,0.0038697959389537573,0.0024693000596016645,hybrid_8,reaction_diffusion,0.0031786819454282522
late_ground_proxy_reaction_diffusion,0.004076443146914244,0.0024205297231674194,hybrid_16,reaction_diffusion,0.003294333117082715
