system,strategy,full_rel_mse,tail16_rel_mse,final_step_rel_mse,run_name,seed,latent_dim,rollout_len
reaction_diffusion,latent_branch,0.003605070291087,0.0037182762753218,0.0040234662592411,rd_seed7_ld20_rl80,7,20,80
reaction_diffusion,hybrid_2,0.0030928112100809,0.0033542111050337,0.0039549651555716,rd_seed7_ld20_rl80,7,20,80
reaction_diffusion,hybrid_4,0.0026035623159259,0.0026559280231595,0.0030717698391526,rd_seed7_ld20_rl80,7,20,80
reaction_diffusion,hybrid_8,0.0024517537094652,0.0025107702240347,0.0029510760214179,rd_seed7_ld20_rl80,7,20,80
reaction_diffusion,hybrid_16,0.0024287453852593,0.0025315415114164,0.0029956342186778,rd_seed7_ld20_rl80,7,20,80
reaction_diffusion,latent,0.0035665861796587,0.0062789735384285,0.0085771642625331,rd_seed7_ld20_rl96,7,20,96
reaction_diffusion,state,0.1206350475549697,0.150683656334877,0.1201369985938072,rd_seed7_ld20_rl96,7,20,96
reaction_diffusion,latent_branch,0.0061374683864414,0.0102491388097405,0.0130024049431085,rd_seed7_ld20_rl96,7,20,96
reaction_diffusion,hybrid_2,0.0464710295200347,0.0859532356262207,0.083896592259407,rd_seed7_ld20_rl96,7,20,96
reaction_diffusion,hybrid_4,0.0145184257999062,0.0315886288881301,0.0410066656768322,rd_seed7_ld20_rl96,7,20,96
reaction_diffusion,hybrid_8,0.0046147406101226,0.0077632386237382,0.0094381524249911,rd_seed7_ld20_rl96,7,20,96
reaction_diffusion,hybrid_16,0.0028663389384746,0.0041473293676972,0.0049009267240762,rd_seed7_ld20_rl96,7,20,96
reaction_diffusion,latent,0.0074331439100205,0.0164610277861356,0.0203562881797552,rd_seed7_ld20_rl112,7,20,112
reaction_diffusion,state,0.0170505568385124,0.0539542846381664,0.0901268273591995,rd_seed7_ld20_rl112,7,20,112
reaction_diffusion,latent_branch,0.0093731926754117,0.0228879582136869,0.0336144641041755,rd_seed7_ld20_rl112,7,20,112
reaction_diffusion,hybrid_2,0.0100345565006136,0.0259541980922222,0.0407699532806873,rd_seed7_ld20_rl112,7,20,112
reaction_diffusion,hybrid_4,0.0069996775127947,0.015831671655178,0.021199045702815,rd_seed7_ld20_rl112,7,20,112
reaction_diffusion,hybrid_8,0.0055629452690482,0.0115472925826907,0.0140106864273548,rd_seed7_ld20_rl112,7,20,112
reaction_diffusion,hybrid_16,0.0053169531747698,0.0108371367678046,0.0127686820924282,rd_seed7_ld20_rl112,7,20,112
reaction_diffusion,latent,0.0022042060736566,0.0024753417819738,0.0031114069279283,rd_seed7_ld24_rl80,7,24,80
reaction_diffusion,state,0.0054825888946652,0.0095435408875346,0.0121742943301796,rd_seed7_ld24_rl80,7,24,80
reaction_diffusion,latent_branch,0.0028865532949566,0.00306909205392,0.0034550034906715,rd_seed7_ld24_rl80,7,24,80
reaction_diffusion,hybrid_2,0.0037528073880821,0.00563111808151,0.0071778022684156,rd_seed7_ld24_rl80,7,24,80
reaction_diffusion,hybrid_4,0.0029015478212386,0.0035961407702416,0.0042382949031889,rd_seed7_ld24_rl80,7,24,80
reaction_diffusion,hybrid_8,0.0024483143351972,0.0026095886714756,0.0029130678158253,rd_seed7_ld24_rl80,7,24,80
reaction_diffusion,hybrid_16,0.0021830759942531,0.0021898143459111,0.0024657426401972,rd_seed7_ld24_rl80,7,24,80
reaction_diffusion,latent,0.0029089828021824,0.0046063088811933,0.0058881808072328,rd_seed7_ld24_rl96,7,24,96
reaction_diffusion,state,0.0045285639353096,0.0081643080338835,0.0111621068790555,rd_seed7_ld24_rl96,7,24,96
reaction_diffusion,latent_branch,0.0041288398206233,0.0060488753952085,0.0074612163007259,rd_seed7_ld24_rl96,7,24,96
reaction_diffusion,hybrid_2,0.0032077387440949,0.0049445228651165,0.0068099498748779,rd_seed7_ld24_rl96,7,24,96
reaction_diffusion,hybrid_4,0.0026396317407488,0.0033982100430876,0.0042452267371118,rd_seed7_ld24_rl96,7,24,96
reaction_diffusion,hybrid_8,0.0024693000596016,0.0031786819454282,0.0038697959389537,rd_seed7_ld24_rl96,7,24,96
reaction_diffusion,hybrid_16,0.0024205297231674,0.0032943331170827,0.0040764431469142,rd_seed7_ld24_rl96,7,24,96
reaction_diffusion,latent,0.0061673554591834,0.0126750897616148,0.0149992275983095,rd_seed7_ld24_rl112,7,24,112
reaction_diffusion,state,0.015287846326828,0.0353994183242321,0.05580360814929,rd_seed7_ld24_rl112,7,24,112
reaction_diffusion,latent_branch,0.0074228574521839,0.0149929542094469,0.0194738339632749,rd_seed7_ld24_rl112,7,24,112
reaction_diffusion,hybrid_2,0.0079370299354195,0.0176038555800914,0.0287643931806087,rd_seed7_ld24_rl112,7,24,112
reaction_diffusion,hybrid_4,0.0048530725762248,0.0094077670946717,0.0132753169164061,rd_seed7_ld24_rl112,7,24,112
reaction_diffusion,hybrid_8,0.003886779770255,0.0069144568406045,0.0082788355648517,rd_seed7_ld24_rl112,7,24,112
reaction_diffusion,hybrid_16,0.0038626797031611,0.0069646229967474,0.007894167676568,rd_seed7_ld24_rl112,7,24,112
reaction_diffusion,latent,0.0022808029316365,0.0023318335879594,0.0027944229077547,rd_seed7_ld28_rl80,7,28,80
reaction_diffusion,state,0.0047100544907152,0.006642339285463,0.0078144744038581,rd_seed7_ld28_rl80,7,28,80
reaction_diffusion,latent_branch,0.0024853907525539,0.0025722931604832,0.0030884088482707,rd_seed7_ld28_rl80,7,28,80
reaction_diffusion,hybrid_2,0.0037620759103447,0.0050292862579226,0.0061449091881513,rd_seed7_ld28_rl80,7,28,80
reaction_diffusion,hybrid_4,0.0030197810847312,0.0035419052001088,0.0042030583135783,rd_seed7_ld28_rl80,7,28,80
reaction_diffusion,hybrid_8,0.0025559156201779,0.0026922856923192,0.0030969730578362,rd_seed7_ld28_rl80,7,28,80
reaction_diffusion,hybrid_16,0.0023432259913533,0.002364284126088,0.0027310727164149,rd_seed7_ld28_rl80,7,28,80
reaction_diffusion,latent,0.0033657739404588,0.0056741214357316,0.0078886523842811,rd_seed7_ld28_rl96,7,28,96
reaction_diffusion,state,0.0395920984447002,0.1128887385129928,0.2160939574241638,rd_seed7_ld28_rl96,7,28,96
reaction_diffusion,latent_branch,0.0044924444518983,0.008572282269597,0.0127423610538244,rd_seed7_ld28_rl96,7,28,96
reaction_diffusion,hybrid_2,0.011698504909873,0.0255672428756952,0.0347626321017742,rd_seed7_ld28_rl96,7,28,96
reaction_diffusion,hybrid_4,0.0070400689728558,0.0142015786841511,0.0189313180744647,rd_seed7_ld28_rl96,7,28,96
reaction_diffusion,hybrid_8,0.0044036908075213,0.0077617517672479,0.010012243874371,rd_seed7_ld28_rl96,7,28,96
reaction_diffusion,hybrid_16,0.0031812763772904,0.0048464643768966,0.0059478296898305,rd_seed7_ld28_rl96,7,28,96
reaction_diffusion,latent,0.0061407727189362,0.0142861763015389,0.0192909762263298,rd_seed7_ld28_rl112,7,28,112
reaction_diffusion,state,0.2101918160915374,0.8168181777000427,1.493161916732788,rd_seed7_ld28_rl112,7,28,112
reaction_diffusion,latent_branch,0.0077436096034944,0.0179771371185779,0.0253776498138904,rd_seed7_ld28_rl112,7,28,112
reaction_diffusion,hybrid_2,0.0267165750265121,0.0759960040450096,0.1106901168823242,rd_seed7_ld28_rl112,7,28,112
reaction_diffusion,hybrid_4,0.0125776743516325,0.0304883681237697,0.0392674840986728,rd_seed7_ld28_rl112,7,28,112
reaction_diffusion,hybrid_8,0.006971922237426,0.0148388985544443,0.0178089048713445,rd_seed7_ld28_rl112,7,28,112
reaction_diffusion,hybrid_16,0.0046133990399539,0.0086985444650053,0.0097488341853022,rd_seed7_ld28_rl112,7,28,112
reaction_diffusion,latent,0.002215479966253,0.0026889634318649,0.003543333383277,rd_seed7_ld32_rl80,7,32,80
reaction_diffusion,state,0.0152738001197576,0.0347139462828636,0.0490604564547538,rd_seed7_ld32_rl80,7,32,80
reaction_diffusion,latent_branch,0.0026291378308087,0.0032938269432634,0.0042205462232232,rd_seed7_ld32_rl80,7,32,80
reaction_diffusion,hybrid_2,0.0103581575676798,0.022762905806303,0.0346007421612739,rd_seed7_ld32_rl80,7,32,80
reaction_diffusion,hybrid_4,0.0062699201516807,0.0119897974655032,0.0164079517126083,rd_seed7_ld32_rl80,7,32,80
reaction_diffusion,hybrid_8,0.004155128262937,0.0067257001064717,0.0080804526805877,rd_seed7_ld32_rl80,7,32,80
reaction_diffusion,hybrid_16,0.0030737661290913,0.0043255975469946,0.004920553881675,rd_seed7_ld32_rl80,7,32,80
reaction_diffusion,latent,0.0030366759747266,0.0045741135254502,0.0060962424613535,rd_seed7_ld32_rl96,7,32,96
reaction_diffusion,state,0.180074542760849,0.2222717553377151,0.2307508140802383,rd_seed7_ld32_rl96,7,32,96
reaction_diffusion,latent_branch,0.0032803497742861,0.0053255879320204,0.0074316654354333,rd_seed7_ld32_rl96,7,32,96
reaction_diffusion,hybrid_2,0.0522145554423332,0.1091002002358436,0.0895061865448951,rd_seed7_ld32_rl96,7,32,96
reaction_diffusion,hybrid_4,0.0120575278997421,0.0201654452830553,0.0312854126095771,rd_seed7_ld32_rl96,7,32,96
reaction_diffusion,hybrid_8,0.0049825101159513,0.0066420412622392,0.0081804618239402,rd_seed7_ld32_rl96,7,32,96
reaction_diffusion,hybrid_16,0.003386587370187,0.0043659415096044,0.005070493556559,rd_seed7_ld32_rl96,7,32,96
reaction_diffusion,latent,0.005018922034651,0.0108492355793714,0.0142194041982293,rd_seed7_ld32_rl112,7,32,112
reaction_diffusion,state,0.0457367077469825,0.1529740691184997,0.1446915566921234,rd_seed7_ld32_rl112,7,32,112
reaction_diffusion,latent_branch,0.0067558195441961,0.0153978262096643,0.0217750594019889,rd_seed7_ld32_rl112,7,32,112
reaction_diffusion,hybrid_2,0.0136770904064178,0.0366171561181545,0.0491164177656173,rd_seed7_ld32_rl112,7,32,112
reaction_diffusion,hybrid_4,0.0078905615955591,0.0173157192766666,0.0211760438978672,rd_seed7_ld32_rl112,7,32,112
reaction_diffusion,hybrid_8,0.0059856888838112,0.0120613034814596,0.0141384797170758,rd_seed7_ld32_rl112,7,32,112
reaction_diffusion,hybrid_16,0.0049811210483312,0.0096523063257336,0.0111696533858776,rd_seed7_ld32_rl112,7,32,112
reaction_diffusion,latent,0.0025258930400013,0.0027631644625216,0.0034773298539221,rd_seed11_ld16_rl80,11,16,80
reaction_diffusion,state,0.0145598640665411,0.0377653129398822,0.0687393769621849,rd_seed11_ld16_rl80,11,16,80
reaction_diffusion,latent_branch,0.0037160883657634,0.004233306273818,0.0046450328081846,rd_seed11_ld16_rl80,11,16,80
reaction_diffusion,hybrid_2,0.004659273661673,0.0081827295944094,0.0173584334552288,rd_seed11_ld16_rl80,11,16,80
reaction_diffusion,hybrid_4,0.0031544554512947,0.0039943899028003,0.0055110296234488,rd_seed11_ld16_rl80,11,16,80
reaction_diffusion,hybrid_8,0.0028325871098786,0.0032449231948703,0.0039787106215953,rd_seed11_ld16_rl80,11,16,80
reaction_diffusion,hybrid_16,0.0026053013280034,0.0028059682808816,0.0033126685302704,rd_seed11_ld16_rl80,11,16,80
reaction_diffusion,latent,0.0032143394928425,0.0046630743891,0.0062369597144424,rd_seed11_ld16_rl96,11,16,96
reaction_diffusion,state,0.0856231600046157,0.0824413672089576,0.0684270188212394,rd_seed11_ld16_rl96,11,16,96
reaction_diffusion,latent_branch,0.0059505915269255,0.0068577551282942,0.0079744793474674,rd_seed11_ld16_rl96,11,16,96
reaction_diffusion,hybrid_2,0.0191973708570003,0.0148794334381818,0.0143030742183327,rd_seed11_ld16_rl96,11,16,96
reaction_diffusion,hybrid_4,0.0070996670983731,0.0071256761439144,0.0085984962061047,rd_seed11_ld16_rl96,11,16,96
reaction_diffusion,hybrid_8,0.0040585310198366,0.0047583426348865,0.0059981532394886,rd_seed11_ld16_rl96,11,16,96
reaction_diffusion,hybrid_16,0.0031623670365661,0.0040224543772637,0.0051933508366346,rd_seed11_ld16_rl96,11,16,96
reaction_diffusion,latent,0.0067962510511279,0.0139249246567487,0.0171247366815805,rd_seed11_ld16_rl112,11,16,112
reaction_diffusion,state,0.0253249239176511,0.0592015460133552,0.0927510559558868,rd_seed11_ld16_rl112,11,16,112
reaction_diffusion,latent_branch,0.0093005718663334,0.0183060001581907,0.0255467221140861,rd_seed11_ld16_rl112,11,16,112
reaction_diffusion,hybrid_2,0.0119877597317099,0.0312273539602756,0.0537035316228866,rd_seed11_ld16_rl112,11,16,112
reaction_diffusion,hybrid_4,0.0058774864301085,0.0130042312666773,0.0185927227139472,rd_seed11_ld16_rl112,11,16,112
reaction_diffusion,hybrid_8,0.0044874045997858,0.0090119261294603,0.0116094388067722,rd_seed11_ld16_rl112,11,16,112
reaction_diffusion,hybrid_16,0.0046334038488566,0.0089825829491019,0.010916331782937,rd_seed11_ld16_rl112,11,16,112
reaction_diffusion,latent,0.0024752675089985,0.002432543085888,0.0028696036897599,rd_seed11_ld20_rl80,11,20,80
reaction_diffusion,state,0.0029604148585349,0.0030430520419031,0.0033629634417593,rd_seed11_ld20_rl80,11,20,80
reaction_diffusion,latent_branch,0.0033912560902535,0.0033311462029814,0.003505838336423,rd_seed11_ld20_rl80,11,20,80
reaction_diffusion,hybrid_2,0.0025871745310723,0.0025798743590712,0.0029763309285044,rd_seed11_ld20_rl80,11,20,80
reaction_diffusion,hybrid_4,0.0024972383398562,0.0024628168903291,0.002881366526708,rd_seed11_ld20_rl80,11,20,80
reaction_diffusion,hybrid_8,0.0024762754328548,0.002433834131807,0.0028642860706895,rd_seed11_ld20_rl80,11,20,80
reaction_diffusion,hybrid_16,0.0024720143992453,0.0024263705126941,0.0028608997818082,rd_seed11_ld20_rl80,11,20,80
reaction_diffusion,latent,0.0031418611761182,0.0047941892407834,0.0061058322899043,rd_seed11_ld20_rl96,11,20,96
reaction_diffusion,state,0.0458941459655761,0.0610472299158573,0.0606926865875721,rd_seed11_ld20_rl96,11,20,96
reaction_diffusion,latent_branch,0.0048395856283605,0.0066083893179893,0.0080621810629963,rd_seed11_ld20_rl96,11,20,96
reaction_diffusion,hybrid_2,0.0359106808900833,0.0628058314323425,0.0641580298542976,rd_seed11_ld20_rl96,11,20,96
reaction_diffusion,hybrid_4,0.0178733561187982,0.0472622886300087,0.0643120557069778,rd_seed11_ld20_rl96,11,20,96
reaction_diffusion,hybrid_8,0.0043859216384589,0.007732615340501,0.0099543537944555,rd_seed11_ld20_rl96,11,20,96
reaction_diffusion,hybrid_16,0.0031382672023028,0.0046222414821386,0.0056644212454557,rd_seed11_ld20_rl96,11,20,96
reaction_diffusion,latent,0.0048143318854272,0.00866808462888,0.0101345106959342,rd_seed11_ld20_rl112,11,20,112
reaction_diffusion,state,0.1561495810747146,0.2332790344953537,0.2271735221147537,rd_seed11_ld20_rl112,11,20,112
reaction_diffusion,latent_branch,0.0068590603768825,0.0137065257877111,0.0185489226132631,rd_seed11_ld20_rl112,11,20,112
reaction_diffusion,hybrid_2,0.0540932975709438,0.0997707769274711,0.0780626013875007,rd_seed11_ld20_rl112,11,20,112
reaction_diffusion,hybrid_4,0.023097762838006,0.0531471744179725,0.0568014532327652,rd_seed11_ld20_rl112,11,20,112
reaction_diffusion,hybrid_8,0.009847012348473,0.0206927638500928,0.0240226089954376,rd_seed11_ld20_rl112,11,20,112
reaction_diffusion,hybrid_16,0.0060915653593838,0.0113195125013589,0.0125821446999907,rd_seed11_ld20_rl112,11,20,112
reaction_diffusion,latent,0.0026488797739148,0.0029900837689638,0.0036849530879408,rd_seed11_ld24_rl80,11,24,80
reaction_diffusion,state,0.0404953733086586,0.0346805192530155,0.0377176329493522,rd_seed11_ld24_rl80,11,24,80
reaction_diffusion,latent_branch,0.0033202006015926,0.0041677388362586,0.004910372197628,rd_seed11_ld24_rl80,11,24,80
reaction_diffusion,hybrid_2,0.0137108629569411,0.0102565549314022,0.0091274352744221,rd_seed11_ld24_rl80,11,24,80
reaction_diffusion,hybrid_4,0.0058244280517101,0.0047540846280753,0.0047862250357866,rd_seed11_ld24_rl80,11,24,80
reaction_diffusion,hybrid_8,0.0034505510702729,0.0031797990668565,0.0036344695836305,rd_seed11_ld24_rl80,11,24,80
reaction_diffusion,hybrid_16,0.0028064013458788,0.0028941670898348,0.0035008264239877,rd_seed11_ld24_rl80,11,24,80
reaction_diffusion,latent,0.0041311709210276,0.0077268844470381,0.0113730076700448,rd_seed11_ld24_rl96,11,24,96
reaction_diffusion,state,0.0037769901100546,0.004618433304131,0.0072560859844088,rd_seed11_ld24_rl96,11,24,96
reaction_diffusion,latent_branch,0.0052806711755692,0.0092262951657176,0.0134263876825571,rd_seed11_ld24_rl96,11,24,96
reaction_diffusion,hybrid_2,0.0031461038161069,0.004035810008645,0.0055360733531415,rd_seed11_ld24_rl96,11,24,96
reaction_diffusion,hybrid_4,0.0029920369852334,0.0040171518921852,0.0051497956737875,rd_seed11_ld24_rl96,11,24,96
reaction_diffusion,hybrid_8,0.0029571985360234,0.0041499105282127,0.0052344510331749,rd_seed11_ld24_rl96,11,24,96
reaction_diffusion,hybrid_16,0.0030569895170629,0.0045101689174771,0.0057562310248613,rd_seed11_ld24_rl96,11,24,96
